<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.26	01:00:00	5163.68	5182.16	5158.68	5163.23	18417	0	4
2026.02.26	02:00:00	5163.23	5192.14	5155.58	5188.31	23442	0	4
2026.02.26	03:00:00	5188.31	5198.32	5178.81	5191.78	42153	0	4
2026.02.26	04:00:00	5191.77	5195.89	5174.25	5184.52	36440	0	4
2026.02.26	05:00:00	5184.54	5193.94	5183.16	5192.66	24497	0	4
2026.02.26	06:00:00	5192.66	5199.27	5190.71	5192.68	12776	0	4
2026.02.26	07:00:00	5192.70	5205.65	5189.94	5198.34	20201	0	4
2026.02.26	08:00:00	5198.34	5199.60	5190.11	5193.34	18609	0	4
2026.02.26	09:00:00	5193.34	5194.86	5179.78	5186.00	15534	0	4
2026.02.26	10:00:00	5186.00	5190.85	5167.74	5179.35	25009	0	4
2026.02.26	11:00:00	5179.35	5189.59	5174.12	5186.47	17562	0	4
2026.02.26	12:00:00	5186.47	5190.20	5165.97	5171.36	18578	0	4
2026.02.26	13:00:00	5171.36	5178.52	5161.22	5164.67	16510	0	4
2026.02.26	14:00:00	5164.68	5187.95	5157.78	5183.73	20208	0	4
2026.02.26	15:00:00	5183.73	5185.71	5164.21	5166.24	28188	0	4
2026.02.26	16:00:00	5166.04	5176.18	5139.79	5164.98	43527	0	4
2026.02.26	17:00:00	5164.99	5192.83	5130.65	5185.71	54234	0	4
2026.02.26	18:00:00	5185.77	5187.27	5172.99	5179.68	32903	0	4
2026.02.26	19:00:00	5179.68	5190.45	5161.94	5167.24	28065	0	4
2026.02.26	20:00:00	5167.24	5185.85	5160.91	5180.46	26403	0	4
2026.02.26	21:00:00	5180.49	5191.03	5179.65	5190.85	14933	0	4
