<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.26	01:00:00	5163.68	5179.22	5158.68	5175.41	1026	0	28
2026.02.26	01:05:00	5175.93	5182.16	5174.19	5179.68	1260	0	4
2026.02.26	01:10:00	5179.68	5179.71	5166.20	5168.70	1369	0	4
2026.02.26	01:15:00	5168.70	5175.14	5163.65	5173.97	1850	0	4
2026.02.26	01:20:00	5173.97	5179.87	5170.30	5170.64	1556	0	4
2026.02.26	01:25:00	5170.58	5171.38	5167.02	5169.94	1090	0	4
2026.02.26	01:30:00	5169.94	5170.26	5165.36	5168.99	1070	0	4
2026.02.26	01:35:00	5168.99	5169.89	5163.62	5169.87	1381	0	4
2026.02.26	01:40:00	5169.87	5174.36	5168.53	5172.61	1193	0	4
2026.02.26	01:45:00	5172.61	5179.29	5166.42	5167.34	2233	0	4
2026.02.26	01:50:00	5167.48	5170.69	5165.20	5169.57	1934	0	4
2026.02.26	01:55:00	5169.57	5170.75	5161.43	5163.23	2455	0	4
2026.02.26	02:00:00	5163.23	5167.92	5155.58	5160.43	3169	0	4
2026.02.26	02:05:00	5160.46	5167.44	5156.36	5162.10	2650	0	4
2026.02.26	02:10:00	5162.10	5169.49	5160.78	5167.69	1644	0	4
2026.02.26	02:15:00	5167.69	5174.67	5167.65	5170.10	1509	0	4
2026.02.26	02:20:00	5170.10	5182.75	5169.81	5180.87	1968	0	4
2026.02.26	02:25:00	5180.87	5186.27	5178.84	5185.52	1765	0	4
2026.02.26	02:30:00	5185.52	5189.44	5182.36	5182.38	2604	0	4
2026.02.26	02:35:00	5182.48	5185.39	5181.42	5182.62	1649	0	4
2026.02.26	02:40:00	5182.62	5188.52	5181.28	5188.38	1599	0	4
2026.02.26	02:45:00	5188.39	5190.12	5185.22	5185.88	1475	0	4
2026.02.26	02:50:00	5185.90	5191.22	5185.02	5189.84	1443	0	4
2026.02.26	02:55:00	5189.84	5192.14	5186.29	5188.31	1967	0	4
2026.02.26	03:00:00	5188.31	5198.32	5187.68	5195.02	4679	0	4
2026.02.26	03:05:00	5195.02	5195.06	5183.09	5184.06	3085	0	4
2026.02.26	03:10:00	5184.06	5189.16	5182.55	5187.67	3316	0	4
2026.02.26	03:15:00	5187.67	5192.93	5187.52	5189.56	2447	0	4
2026.02.26	03:20:00	5189.56	5195.44	5183.88	5186.43	3165	0	4
2026.02.26	03:25:00	5186.43	5187.37	5178.81	5180.68	2694	0	4
2026.02.26	03:30:00	5180.68	5188.49	5178.84	5188.22	4063	0	4
2026.02.26	03:35:00	5188.22	5191.73	5185.03	5185.27	4082	0	4
2026.02.26	03:40:00	5185.27	5192.60	5185.00	5189.44	3253	0	4
2026.02.26	03:45:00	5189.45	5192.40	5187.17	5189.87	3819	0	4
2026.02.26	03:50:00	5189.87	5193.62	5185.28	5191.38	4028	0	4
2026.02.26	03:55:00	5191.38	5194.18	5190.40	5191.78	3522	0	4
2026.02.26	04:00:00	5191.77	5195.89	5187.92	5190.23	3173	0	4
2026.02.26	04:05:00	5190.23	5190.48	5184.87	5187.44	2796	0	4
2026.02.26	04:10:00	5187.42	5191.10	5182.44	5183.21	3055	0	4
2026.02.26	04:15:00	5183.18	5190.00	5181.75	5188.36	2408	0	4
2026.02.26	04:20:00	5188.34	5189.60	5181.43	5183.62	2430	0	4
2026.02.26	04:25:00	5183.63	5184.92	5180.79	5180.87	2169	0	4
2026.02.26	04:30:00	5180.88	5183.89	5178.45	5178.95	3666	0	4
2026.02.26	04:35:00	5178.92	5184.43	5174.55	5180.58	3650	0	4
2026.02.26	04:40:00	5180.59	5180.79	5174.25	5176.49	4466	0	4
2026.02.26	04:45:00	5176.52	5183.34	5176.42	5181.01	3268	0	4
2026.02.26	04:50:00	5181.01	5184.95	5180.93	5184.91	2493	0	4
2026.02.26	04:55:00	5184.91	5186.64	5183.81	5184.52	2866	0	4
2026.02.26	05:00:00	5184.54	5187.86	5183.16	5187.62	2595	0	4
2026.02.26	05:05:00	5187.62	5187.78	5184.47	5185.97	2410	0	4
2026.02.26	05:10:00	5186.02	5188.21	5184.36	5187.30	2442	0	4
2026.02.26	05:15:00	5187.29	5193.94	5185.57	5190.33	3635	0	4
2026.02.26	05:20:00	5190.32	5191.84	5188.04	5191.20	3473	0	4
2026.02.26	05:25:00	5191.20	5191.46	5187.88	5188.49	2503	0	4
2026.02.26	05:30:00	5188.49	5190.12	5188.03	5188.63	1374	0	4
2026.02.26	05:35:00	5188.63	5189.00	5186.38	5186.81	860	0	4
2026.02.26	05:40:00	5186.93	5188.99	5186.23	5186.43	792	0	4
2026.02.26	05:45:00	5186.43	5189.02	5184.37	5188.97	1482	0	4
2026.02.26	05:50:00	5188.97	5191.86	5187.91	5191.54	1713	0	4
2026.02.26	05:55:00	5191.54	5193.03	5190.58	5192.66	1218	0	4
2026.02.26	06:00:00	5192.66	5195.62	5192.45	5194.20	1196	0	4
2026.02.26	06:05:00	5194.20	5196.65	5193.23	5195.94	1251	0	4
2026.02.26	06:10:00	5195.94	5199.27	5194.96	5196.84	1235	0	4
2026.02.26	06:15:00	5196.84	5197.20	5191.70	5193.77	1101	0	4
2026.02.26	06:20:00	5193.76	5195.42	5191.47	5193.67	1122	0	4
2026.02.26	06:25:00	5193.67	5194.87	5191.76	5194.22	1211	0	4
2026.02.26	06:30:00	5194.22	5195.08	5192.88	5194.84	1071	0	4
2026.02.26	06:35:00	5194.84	5195.54	5194.07	5195.39	839	0	4
2026.02.26	06:40:00	5195.41	5195.84	5194.15	5194.33	946	0	4
2026.02.26	06:45:00	5194.33	5194.86	5190.96	5191.56	901	0	4
2026.02.26	06:50:00	5191.56	5193.04	5190.71	5192.55	915	0	4
2026.02.26	06:55:00	5192.55	5193.64	5192.18	5192.68	988	0	4
2026.02.26	07:00:00	5192.70	5195.18	5189.94	5193.27	1111	0	4
2026.02.26	07:05:00	5193.27	5194.62	5192.18	5194.62	970	0	4
2026.02.26	07:10:00	5194.62	5199.52	5193.69	5198.00	1723	0	4
2026.02.26	07:15:00	5198.00	5202.37	5196.58	5200.00	1625	0	4
2026.02.26	07:20:00	5200.00	5203.23	5198.11	5202.82	1305	0	4
2026.02.26	07:25:00	5202.82	5205.65	5199.70	5200.59	1498	0	4
2026.02.26	07:30:00	5200.58	5201.86	5199.12	5201.31	2047	0	4
2026.02.26	07:35:00	5201.31	5203.43	5196.18	5199.44	1890	0	4
2026.02.26	07:40:00	5199.44	5201.67	5199.05	5199.68	1861	0	4
2026.02.26	07:45:00	5199.68	5200.26	5191.39	5193.81	2194	0	4
2026.02.26	07:50:00	5193.81	5196.45	5193.18	5194.11	1780	0	4
2026.02.26	07:55:00	5194.15	5198.74	5194.15	5198.34	2197	0	4
2026.02.26	08:00:00	5198.34	5199.46	5193.64	5193.87	1603	0	4
2026.02.26	08:05:00	5193.87	5199.60	5193.57	5198.43	1753	0	4
2026.02.26	08:10:00	5198.43	5198.47	5195.80	5198.01	1328	0	4
2026.02.26	08:15:00	5198.02	5198.51	5194.67	5196.04	1496	0	4
2026.02.26	08:20:00	5196.04	5197.16	5193.20	5196.39	1827	0	4
2026.02.26	08:25:00	5196.39	5197.90	5193.51	5193.92	1902	0	4
2026.02.26	08:30:00	5193.92	5197.57	5193.77	5197.07	1695	0	4
2026.02.26	08:35:00	5197.07	5198.50	5194.36	5197.00	1303	0	4
2026.02.26	08:40:00	5197.00	5197.63	5194.51	5196.65	1135	0	4
2026.02.26	08:45:00	5196.65	5197.18	5192.51	5192.90	1362	0	4
2026.02.26	08:50:00	5192.90	5196.95	5191.41	5193.33	1570	0	4
2026.02.26	08:55:00	5193.33	5193.57	5190.11	5193.34	1635	0	4
2026.02.26	09:00:00	5193.34	5194.86	5185.63	5190.63	1615	0	4
2026.02.26	09:05:00	5190.63	5190.78	5182.72	5184.81	1375	0	4
2026.02.26	09:10:00	5184.81	5187.70	5182.44	5187.54	1412	0	4
2026.02.26	09:15:00	5187.54	5190.77	5185.35	5188.79	1426	0	4
